Note, Blocked=TRUE IPs will stop having their metrics updated as they have been blocked.						
						
TotalIps: 3138, TotalTxs: 4097594, AvgFees: 251711						
						
IP	TxCount	DupCount	AvgFee	MinFee	MaxFee	Blocked
51.195.199.134	177	227	37878	6969	74548	TRUE
173.231.43.99	176	465	27840	6021	205004	TRUE
195.181.173.137	175	142	20884	15918	119751	TRUE
84.32.131.86	175	1703	5147	5143	6120	TRUE
64.130.50.142	174	403	283530	39048	904999	FALSE
208.115.234.182	173	659	169815	5000	14410000	FALSE
195.181.173.250	173	253	25858	15920	511351	TRUE
208.91.111.137	173	550	59773	5000	2005000	TRUE
141.98.219.244	172	924	64601	5000	5005001	FALSE
195.181.173.156	172	127	27503	15948	464988	TRUE
139.178.86.103	171	1485	26244	5000	1748821	TRUE
185.229.191.104	171	160	21254	15908	177916	TRUE
202.8.9.59	169	525	69446	5050	1505000	FALSE
45.250.255.162	169	573	433541	5000	4325225	FALSE
51.195.199.97	169	236	37708	6969	74324	TRUE
141.98.216.153	168	741	243104	5000	20005000	FALSE
185.8.107.209	168	1008	30711	5010	2338334	TRUE
51.195.199.130	168	250	39348	6969	74852	TRUE
51.195.72.150	167	490	82021	5900	9514905	FALSE
38.55.75.2	167	1020	66668	5100	7505001	FALSE
185.229.191.116	167	99	26341	15900	270875	TRUE
142.4.53.76	167	603	45835	21501	311304	TRUE
51.77.83.192	166	545	138914	5900	9514905	FALSE
54.36.234.211	165	409	134656	5900	9514905	FALSE
69.67.150.171	165	0	23422	5195	805000	TRUE
195.181.173.160	165	426	26506	15897	316458	TRUE
51.195.199.94	165	256	36102	6969	74752	TRUE
160.202.128.131	164	534	75330	5050	605000	FALSE
202.8.8.226	164	79	118168	10312	2466011	FALSE
195.181.173.200	164	387	26681	15902	479723	TRUE
51.195.72.138	164	405	51396	6969	1305000	TRUE
51.195.199.112	163	307	37462	6969	74944	TRUE
204.16.243.68	163	521	37167	5001	1605000	TRUE
74.118.143.88	163	57	48541	5000	2525976	TRUE
160.202.128.175	162	577	114725	5000	10005000	FALSE
54.37.197.133	161	450	143966	5900	9514905	FALSE
